timestamp,price,total_volumes,Lag1,Lag2,Lag3,Lag4,Lag5,Direction
2023-10-07,18044.39760142695,91464207098.41844,17762.19810170696,18245.18418075872,18350.272216853195,18410.704982892712,18940.574977026085,Up
2023-10-08,17920.43451480039,40389619259.36426,18044.39760142695,17762.19810170696,18245.18418075872,18350.272216853195,18410.704982892712,Down
2023-10-09,17940.908593626402,56458327249.231415,17920.43451480039,18044.39760142695,17762.19810170696,18245.18418075872,18350.272216853195,Up
2023-10-10,17303.510600774993,114956885326.67545,17940.908593626402,17920.43451480039,18044.39760142695,17762.19810170696,18245.18418075872,Down
2023-10-11,17047.412338315517,92394211817.08156,17303.510600774993,17940.908593626402,17920.43451480039,18044.39760142695,17762.19810170696,Down
2023-10-12,17066.400221236265,87418888896.877,17047.412338315517,17303.510600774993,17940.908593626402,17920.43451480039,18044.39760142695,Up
2023-10-13,16882.251347543475,101578506235.29115,17066.400221236265,17047.412338315517,17303.510600774993,17940.908593626402,17920.43451480039,Down
2023-10-14,16986.15817371099,80631737025.18578,16882.251347543475,17066.400221236265,17047.412338315517,17303.510600774993,17940.908593626402,Up
2023-10-15,17035.325280165984,38133674996.39499,16986.15817371099,16882.251347543475,17066.400221236265,17047.412338315517,17303.510600774993,Up
2023-10-16,17152.153774451257,46259682185.35284,17035.325280165984,16986.15817371099,16882.251347543475,17066.400221236265,17047.412338315517,Up
2023-10-17,17494.148600455414,162648812443.74506,17152.153774451257,17035.325280165984,16986.15817371099,16882.251347543475,17066.400221236265,Up
2023-10-18,17084.137208111788,82187951380.75314,17494.148600455414,17152.153774451257,17035.325280165984,16986.15817371099,16882.251347543475,Down
2023-10-19,17249.55146881009,78980798735.18263,17084.137208111788,17494.148600455414,17152.153774451257,17035.325280165984,16986.15817371099,Up
2023-10-20,17182.85111215785,89091727734.69914,17249.55146881009,17084.137208111788,17494.148600455414,17152.153774451257,17035.325280165984,Down
