timestamp,price,total_volumes
2023-05-28,19790.922790024524,43988801784.0429
2023-05-29,20674.683265643347,78075348656.49376
2023-05-30,20499.078274166273,73197740428.5266
2023-05-31,20659.01229332296,65413422694.49094
2023-06-01,20324.61145362952,64296471559.33596
2023-06-02,20122.04926523826,67421224699.92349
2023-06-03,20599.991009544952,74640852310.88068
2023-06-04,20437.09321526646,41024981308.83538
2023-06-05,20480.64875034988,46239138926.02157
2023-06-06,19685.450394220527,118171001323.85266
2023-06-07,20562.18416023445,104166635831.03609
2023-06-08,19955.61827162484,92290669995.38261
2023-06-09,19937.692596486784,52433520109.86471
2023-06-10,19913.381034252146,55149894460.2559
2023-06-11,18995.56596880502,448377226092.553
2023-06-12,18962.147239846046,54468849595.29067
2023-06-13,18861.737691257422,72861248677.85898
2023-06-14,18560.7474089628,72658183445.79381
2023-06-15,17678.49785732167,85952657377.2488
2023-06-16,17658.144914354725,87848876148.4515
2023-06-17,18283.70898684168,74661237484.98402
2023-06-18,18390.18635570204,51767855027.09272
2023-06-19,18304.413641298965,43488579437.64706
2023-06-20,18637.420096146605,61999468945.01026
2023-06-21,19311.419801780015,85222899798.71793
2023-06-22,20159.115434974014,130937828754.16187
2023-06-23,20036.326655154106,105220310155.32666
2023-06-24,20273.731888816084,99724506859.90456
2023-06-25,20096.330153960967,52400753389.9945
2023-06-26,20364.556627697628,78962886194.88632
2023-06-27,19949.914575266273,106124127207.8698
2023-06-28,20278.619399276275,94487366094.48839
2023-06-29,19701.876274301536,73504957997.03162
2023-06-30,20137.009795807557,71808281433.73465
2023-07-01,20875.896035170193,126238279365.55904
2023-07-02,20773.586341201368,62211004797.08342
2023-07-03,20870.341597666094,77521794643.06943
2023-07-04,21192.24382866535,99304624798.98769
2023-07-05,20967.64220637598,65677066252.93693
2023-07-06,20926.71937099341,89610413614.82602
2023-07-07,20285.154342208396,148071685635.8665
2023-07-08,20228.25514549991,96066385488.48119
2023-07-09,20180.022763397097,56534399954.04472
2023-07-10,20262.114135325388,30086438523.560867
2023-07-11,20178.260594206255,95531986510.17632
2023-07-12,19995.041915483678,58657181971.358604
2023-07-13,19428.840842055903,82752108278.60007
2023-07-14,20440.598922337398,125028364744.91135
