Date,Price,SMA_20,SMA_50,RSI,Volatility_30,MACD,Signal,MACD_Histogram
2018-04-14,4144,3501.95,4901.76,71.36363636363636,611.7339788826006,-294.5023347786896,-487.87849344569975,193.37615866701015
2018-04-15,4195,3497.6,4844.36,72.02762703502714,575.9370375868924,-227.7440399047955,-435.85160273751893,208.10756283272343
2018-04-16,4454,3520.8,4798.02,79.95348837209303,546.2181251385592,-152.18419018986697,-379.1181202279886,226.93393003812162
2018-04-17,4267,3549.4,4745.46,72.77533039647577,532.9373181317565,-106.1679638868327,-324.52808895975744,218.36012507292475
2018-04-18,4188,3573.3,4688.34,66.73031026252983,525.5563445191823,-75.20746790711246,-274.66396474922846,199.456496842116
2018-04-19,4347,3629.6,4632.26,79.47932618683001,517.7305738764463,-37.40984321750693,-227.21314044288414,189.8032972253772
2018-04-20,4761,3702.75,4587.14,82.70967741935483,529.4258829309717,25.655644424975435,-176.63938346931224,202.29502789428767
2018-04-21,4985,3786.9,4545.7,88.97637795275591,553.8597855675778,92.64250061865914,-122.78300665171797,215.42550727037712
2018-04-22,5070,3882.1,4506.76,88.84696016771488,589.6036161167337,150.8499520454061,-68.05641491229316,218.90636695769928
2018-04-23,5219,3981.4,4471.82,88.99917287014061,633.1424355373431,206.62103276954804,-13.12092537592492,219.74195814547295
2018-04-24,5419,4078.0,4441.14,89.83957219251337,690.8019194776609,263.91608424550486,42.28647654836104,221.62960769714383
2018-04-25,5998,4218.3,4422.26,91.43317230273752,787.902993037074,351.98581307429686,104.2263438535482,247.75946922074866
2018-04-26,5252,4318.9,4394.52,72.7810650887574,822.7371725966998,357.4651070219343,154.87409648722542,202.59101053470886
2018-04-27,5687,4448.05,4384.48,71.90449750138811,876.1402580204473,392.3851794080101,202.37631307138236,190.00886633662776
2018-04-28,5558,4565.1,4380.02,69.12878787878788,914.5312196552592,404.9819862129634,242.8974476996986,162.08453851326482
2018-04-29,5823,4689.6,4379.2,70.81841432225065,948.553880582339,431.3757011033067,280.5930983804202,150.7826027228865
2018-04-30,5898,4817.85,4384.16,69.37734836285561,980.3949380136339,453.12148113302555,315.0987749309413,138.02270620208424
2018-05-01,5797,4936.45,4382.54,71.01648351648352,998.5773495270682,456.9380155593526,343.4666230566236,113.47139250272903
2018-05-02,5885,5052.8,4385.66,73.2529460126062,1007.7569356642055,461.74085004653807,367.1214684546065,94.61938159193159
2018-05-03,6034,5149.05,4393.86,73.17944490244574,1018.6449580568847,472.12779045619664,388.12273285492455,84.00505760127209
2018-05-04,6885,5286.1,4431.98,76.0549558390579,1081.5116395290352,542.7713729371972,419.05246087137914,123.71891206581802
2018-05-05,6846,5418.65,4468.66,73.91416088409149,1113.5267515586602,588.822369206503,453.006442538404,135.81592666809905
2018-05-06,7102,5551.05,4510.84,75.01230920728705,1149.4941521152368,638.6136355803865,490.1278811468005,148.48575443358595
2018-05-07,6926,5684.0,4557.34,70.87307410124725,1151.960370586723,656.3063527043068,523.3635754583019,132.942777246005
2018-05-08,6611,5805.15,4601.26,64.17697431018078,1131.4863325244617,637.560688311888,546.2029980290191,91.35769028286893
2018-05-09,6558,5915.7,4641.8,57.61283306144644,1103.7698848132663,611.3803451176927,559.2384674467538,52.141877670938925
2018-05-10,6478,6001.55,4680.26,70.35192563081009,1061.2202307536932,577.5196164599301,562.8946972493891,14.624919210541066
2018-05-11,6205,6062.55,4712.46,59.08771929824561,1004.2291313618941,522.6313576373541,554.8420293269821,-32.21067168962804
2018-05-12,5807,6099.4,4739.98,53.991663994870144,937.921286798571,441.9225353958791,532.2581305407616,-90.33559514488252
2018-05-13,5875,6132.2,4768.9,50.889801505817935,898.9541330531474,379.0774748318072,501.62199939897073,-122.54452456716353
2018-05-14,6242,6173.35,4808.22,55.35158680771624,861.8869008663842,354.7962738219867,472.25685428357394,-117.46058046158726
2018-05-15,6287,6187.8,4848.32,57.7580747308423,821.3502088130522,335.3190220470906,444.8692878362773,-109.55026578918671
2018-05-16,6113,6230.85,4890.78,53.51418002466091,786.2670578161722,302.3574256759084,416.36691540420355,-114.00948972829514
2018-05-17,6107,6251.85,4939.02,51.177039664624324,732.1314976731031,272.6085119870804,387.615234720779,-115.00672273369855
2018-05-18,5819,6264.9,4981.2,28.999211977935374,660.307681677839,223.21994984355933,354.73617774533506,-131.51622790177572
2018-05-19,6006,6274.05,5036.9,34.36336559940432,589.7447928465831,196.89876924856617,323.1686960459813,-126.26992679741511
2018-05-20,6003,6279.3,5091.0,27.41471434443075,543.3449878871371,173.7935848023626,293.29367379725755,-119.50008899489495
2018-05-21,6165,6297.7,5148.26,34.270359652749065,507.63604144575584,166.63375556613664,267.9616901510334,-101.32793458489675
2018-05-22,5977,6302.3,5204.48,36.16928446771379,472.7054148149849,144.12809157118863,243.19497043506448,-99.06687886387584
2018-05-23,5566,6278.9,5251.14,31.283018867924525,454.6583774988533,92.0666386797484,212.96930408400127,-120.90266540425287
2018-05-24,5085,6188.9,5283.1,27.171419206817433,475.46266034181383,11.858188252782384,172.7470809177575,-160.88889266497512
2018-05-25,5237,6108.45,5324.0,33.48122866894198,500.0134986683652,-38.992970209972555,130.3990706922115,-169.39204090218405
